battleTime,crowns_won,crowns_lost,player_level,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8
20181231T164207.000Z,2,1,9,Balloon,Inferno Tower,Skeleton Army,Wizard,Mini P.E.K.K.A,Fireball,Valkyrie,Goblin Barrel
20181230T200340.000Z,0,3,8,Inferno Dragon,Miner,The Log,Executioner,Goblin Barrel,Prince,Wizard,Valkyrie
20181229T202237.000Z,1,0,8,Wizard,Zap,Mini P.E.K.K.A,P.E.K.K.A,Baby Dragon,Witch,Skeleton Army,Freeze
20181224T223524.000Z,2,3,10,Zap,Fire Spirits,Bandit,Lumberjack,Wizard,Hog Rider,Executioner,Minions
20181222T154746.000Z,0,0,8,Prince,Goblin Hut,Witch,Zap,The Log,Giant,Musketeer,Skeleton Army
20181222T123330.000Z,2,0,10,Giant Skeleton,Miner,Bats,Valkyrie,Dark Prince,Wizard,Fireball,Witch
20180331T083450.000Z,1,3,8,Hog Rider,Minion Horde,Mini P.E.K.K.A,Sparky,Valkyrie,Skeletons,Goblin Gang,Wizard
20180322T111156.000Z,1,1,10,Lumberjack,Mega Minion,Miner,Archers,Zap,Fireball,Ice Spirit,Battle Ram
20180318T205038.000Z,1,2,10,Knight,Dark Prince,Prince,Executioner,Miner,Arrows,Wizard,Inferno Dragon
20190102T211619.000Z,1,0,10,Tesla,Mirror,Goblin Barrel,Zap,Furnace,Goblin Hut,X-Bow,Mortar
20190102T210330.000Z,1,0,7,Barbarians,Giant Skeleton,Baby Dragon,Witch,Inferno Tower,Mega Knight,Wizard,Freeze
20190102T205649.000Z,2,1,9,Hog Rider,Skeleton Army,Valkyrie,Poison,Minion Horde,Freeze,Musketeer,Goblin Barrel
20190102T205144.000Z,0,0,7,Prince,Archers,Minions,Arrows,Giant,Baby Dragon,Musketeer,Skeleton Army
20190102T203143.000Z,0,1,8,Bandit,Battle Ram,Zap,Freeze,P.E.K.K.A,Dart Goblin,Baby Dragon,Valkyrie
20190114T154809.000Z,0,1,10,Royal Hogs,Baby Dragon,Skeleton Army,Wizard,Princess,Miner,Giant Skeleton,The Log
20190106T140739.000Z,0,1,8,Lumberjack,Balloon,Baby Dragon,Night Witch,Minion Horde,Musketeer,Valkyrie,Barbarian Barrel
20190105T220252.000Z,0,3,9,Valkyrie,P.E.K.K.A,Arrows,Bats,Witch,Princess,Wizard,Skeleton Army
20190105T215034.000Z,2,1,9,Witch,Rage,Wizard,Hog Rider,Prince,Baby Dragon,Valkyrie,Skeleton Army
20190105T214656.000Z,0,0,8,Prince,P.E.K.K.A,Skeleton Army,Zap,Valkyrie,Inferno Tower,Wizard,Baby Dragon
20190116T200020.000Z,1,2,9,Giant Skeleton,Baby Dragon,Valkyrie,Wizard,Witch,Hog Rider,Skeleton Army,Mini P.E.K.K.A
20190116T195401.000Z,1,1,9,Balloon,Prince,Cannon Cart,P.E.K.K.A,Wizard,Lumberjack,Princess,Inferno Dragon
20190116T194220.000Z,2,1,9,Minion Horde,Elite Barbarians,Balloon,Giant Skeleton,Rage,Baby Dragon,Princess,Bomber
20190317T103126.000Z,2,1,10,Rage,The Log,Balloon,Graveyard,Inferno Dragon,Executioner,Princess,Fire Spirits
20190317T102554.000Z,1,1,8,Goblin Barrel,Baby Dragon,Hunter,Skeleton Army,Bats,Minions,Barbarian Barrel,Miner
20190317T105754.000Z,2,1,8,Spear Goblins,Musketeer,Ram Rider,Skeleton Army,Giant Skeleton,Baby Dragon,Barbarian Barrel,Princess
20190317T105427.000Z,2,1,8,Balloon,Prince,Mini P.E.K.K.A,Baby Dragon,Witch,Minion Horde,Wizard,Skeleton Army
20190317T110323.000Z,2,1,9,Baby Dragon,Balloon,Valkyrie,Witch,Hog Rider,Mini P.E.K.K.A,Prince,Skeleton Army
20190317T110635.000Z,1,3,9,Knight,Skeleton Army,Lumberjack,Royal Hogs,Freeze,Ice Wizard,Minion Horde,Witch
20190317T111044.000Z,0,1,9,Hog Rider,Ice Spirit,Skeletons,Fireball,Musketeer,Ice Golem,Cannon,Barbarian Barrel
20190323T135254.000Z,0,3,8,Valkyrie,Goblin Barrel,Musketeer,Balloon,Skeleton Army,Prince,Witch,Baby Dragon
20190323T133947.000Z,0,2,10,Executioner,P.E.K.K.A,Witch,Guards,Barbarian Barrel,Dark Prince,X-Bow,Cannon Cart
20190319T195356.000Z,0,3,9,Mega Knight,Wizard,Baby Dragon,Hunter,Lumberjack,Princess,Fireball,Skeleton Army
20190406T184454.000Z,1,0,9,Skeleton Army,Bats,Wizard,Mirror,Rage,Golem,Fireball,Miner
20190406T183744.000Z,2,1,9,Valkyrie,Musketeer,Arrows,Goblin Barrel,Lumberjack,Hog Rider,Skeleton Army,Inferno Tower
20190406T183427.000Z,3,0,8,Elixir Collector,Prince,Mega Knight,Miner,Zap,Baby Dragon,Witch,P.E.K.K.A
20190324T103651.000Z,1,2,9,Wizard,Miner,Inferno Dragon,Ram Rider,Freeze,Tornado,Mega Knight,Barbarians
